variant,pid,subset,n,pair_dist
AR-diff,P00,general,8,0.3138907551765442
AR-diff,P01,general,8,0.40762677788734436
AR-diff,P02,general,8,0.5045313239097595
AR-diff,P03,general,8,0.3631768822669983
AR-diff,P04,general,8,0.5437705516815186
AR-diff,P05,general,8,0.13810428977012634
AR-diff,P06,general,8,0.2655962109565735
AR-diff,P07,general,8,0.5182151198387146
AR-diff,P08,general,8,0.7140465378761292
AR-diff,P09,general,8,0.2845996022224426
AR-diff,P10,general,8,0.3618996739387512
AR-diff,P11,general,8,0.18970490992069244
AR-diff,P12,general,8,0.3143764138221741
AR-diff,P13,general,8,0.2623116374015808
AR-diff,P14,general,8,0.19732239842414856
AR-diff,P15,fast,8,0.04937418922781944
AR-diff,P16,fast,8,0.06461291015148163
AR-diff,P17,fast,8,0.371736079454422
AR-diff,P18,fast,8,0.2900945842266083
AR-diff,P19,multi,8,0.4724111258983612
AR-diff,P20,multi,8,0.21656863391399384
AR-diff,P21,multi,8,0.4098535478115082
AR-diff,P22,multi,8,0.18179522454738617
AR-diff,P23,rare,8,0.18922434747219086
AR-diff,P24,rare,8,0.0497627928853035
AR-diff,P25,rare,8,0.38315895199775696
AR-diff,P26,count,8,0.15871842205524445
AR-diff,P27,count,8,0.370543509721756
AR-diff,P28,count,8,0.19915159046649933
AR-diff,P29,physics,8,0.2942752540111542
AR-diff-cfg3,P00,general,4,0.2559162974357605
AR-diff-cfg3,P01,general,4,0.46812471747398376
AR-diff-cfg3,P02,general,4,0.5737157464027405
AR-diff-cfg3,P03,general,4,0.482466459274292
AR-diff-cfg3,P04,general,4,0.5581786632537842
AR-diff-cfg3,P05,general,4,0.16532285511493683
AR-diff-cfg3,P06,general,4,0.3616791069507599
AR-diff-cfg3,P07,general,4,0.7419423460960388
AR-diff-cfg3,P08,general,4,0.8441693782806396
AR-diff-cfg3,P09,general,4,0.22276949882507324
AR-diff-cfg3,P10,general,4,0.49220576882362366
AR-diff-cfg3,P11,general,4,0.2460736632347107
AR-diff-cfg3,P12,general,4,0.2676800787448883
AR-diff-cfg3,P13,general,4,0.3701601028442383
AR-diff-cfg3,P14,general,4,0.15140928328037262
AR-diff-cfg3,P15,fast,4,0.04979291558265686
AR-diff-cfg3,P16,fast,4,0.07041148096323013
AR-diff-cfg3,P17,fast,4,0.4203760623931885
AR-diff-cfg3,P18,fast,4,0.24051815271377563
AR-diff-cfg3,P19,multi,4,0.5505828857421875
AR-diff-cfg3,P20,multi,4,0.24552147090435028
AR-diff-cfg3,P21,multi,4,0.5600054860115051
AR-diff-cfg3,P22,multi,4,0.24537627398967743
AR-diff-cfg3,P23,rare,4,0.1755094677209854
AR-diff-cfg3,P24,rare,4,0.05888889357447624
AR-diff-cfg3,P25,rare,4,0.43466290831565857
AR-diff-cfg3,P26,count,4,0.14991702139377594
AR-diff-cfg3,P27,count,4,0.552529513835907
AR-diff-cfg3,P28,count,4,0.12936535477638245
AR-diff-cfg3,P29,physics,4,0.3984995186328888
AR-diff-cfg7.5,P00,general,4,0.2787456810474396
AR-diff-cfg7.5,P01,general,4,0.4998805522918701
AR-diff-cfg7.5,P02,general,4,0.407742977142334
AR-diff-cfg7.5,P03,general,4,0.32814887166023254
AR-diff-cfg7.5,P04,general,4,0.45237112045288086
AR-diff-cfg7.5,P05,general,4,0.08880728483200073
AR-diff-cfg7.5,P06,general,4,0.28317001461982727
AR-diff-cfg7.5,P07,general,4,0.5700512528419495
AR-diff-cfg7.5,P08,general,4,0.5528448224067688
AR-diff-cfg7.5,P09,general,4,0.26596835255622864
AR-diff-cfg7.5,P10,general,4,0.4105782210826874
AR-diff-cfg7.5,P11,general,4,0.2156105637550354
AR-diff-cfg7.5,P12,general,4,0.40681108832359314
AR-diff-cfg7.5,P13,general,4,0.23749805986881256
AR-diff-cfg7.5,P14,general,4,0.0931306853890419
AR-diff-cfg7.5,P15,fast,4,0.02343800663948059
AR-diff-cfg7.5,P16,fast,4,0.06546029448509216
AR-diff-cfg7.5,P17,fast,4,0.17205600440502167
AR-diff-cfg7.5,P18,fast,4,0.1783989667892456
AR-diff-cfg7.5,P19,multi,4,0.38279232382774353
AR-diff-cfg7.5,P20,multi,4,0.18959598243236542
AR-diff-cfg7.5,P21,multi,4,0.33573243021965027
AR-diff-cfg7.5,P22,multi,4,0.23612813651561737
AR-diff-cfg7.5,P23,rare,4,0.25614485144615173
AR-diff-cfg7.5,P24,rare,4,0.041372139006853104
AR-diff-cfg7.5,P25,rare,4,0.2901349365711212
AR-diff-cfg7.5,P26,count,4,0.1474774181842804
