variant,pid,subset,n,pair_dist
AR-diff,P00,general,8,0.07380951195955276
AR-diff,P01,general,8,0.2604108452796936
AR-diff,P02,general,8,0.1557534784078598
AR-diff,P03,general,8,0.13649608194828033
AR-diff,P04,general,8,0.1076759472489357
AR-diff,P05,general,8,0.09730131179094315
AR-diff,P06,general,8,0.18127980828285217
AR-diff,P07,general,8,0.20469149947166443
AR-diff,P08,general,8,0.20465731620788574
AR-diff,P09,general,8,0.1638731062412262
AR-diff,P10,general,8,0.24366497993469238
AR-diff,P11,general,8,0.0792432501912117
AR-diff,P12,general,8,0.07881931960582733
AR-diff,P13,general,8,0.08819715678691864
AR-diff,P14,general,8,0.1425151377916336
AR-diff,P15,fast,8,0.1693173497915268
AR-diff,P16,fast,8,0.12099231779575348
AR-diff,P17,fast,8,0.12509314715862274
AR-diff,P18,fast,8,0.15382032096385956
AR-diff,P19,multi,8,0.12018083781003952
AR-diff,P20,multi,8,0.09106091409921646
AR-diff,P21,multi,8,0.31524211168289185
AR-diff,P22,multi,8,0.11882450431585312
AR-diff,P23,rare,8,0.24868546426296234
AR-diff,P24,rare,8,0.12298388034105301
AR-diff,P25,rare,8,0.21336136758327484
AR-diff,P26,count,8,0.14761054515838623
AR-diff,P27,count,8,0.19385528564453125
AR-diff,P28,count,8,0.08880060911178589
AR-diff,P29,physics,8,0.20698823034763336
AR-diff-cfg3,P00,general,4,0.06593921780586243
AR-diff-cfg3,P01,general,4,0.24451708793640137
AR-diff-cfg3,P02,general,4,0.14457331597805023
AR-diff-cfg3,P03,general,4,0.13778142631053925
AR-diff-cfg3,P04,general,4,0.12325716763734818
AR-diff-cfg3,P05,general,4,0.1002982035279274
AR-diff-cfg3,P06,general,4,0.269881010055542
AR-diff-cfg3,P07,general,4,0.23646624386310577
AR-diff-cfg3,P08,general,4,0.3079913854598999
AR-diff-cfg3,P09,general,4,0.18562078475952148
AR-diff-cfg3,P10,general,4,0.28447702527046204
AR-diff-cfg3,P11,general,4,0.10663098096847534
AR-diff-cfg3,P12,general,4,0.12393642216920853
AR-diff-cfg3,P13,general,4,0.20828287303447723
AR-diff-cfg3,P14,general,4,0.08430969715118408
AR-diff-cfg3,P15,fast,4,0.14383648335933685
AR-diff-cfg3,P16,fast,4,0.08856996893882751
AR-diff-cfg3,P17,fast,4,0.1775629073381424
AR-diff-cfg3,P18,fast,4,0.13753710687160492
AR-diff-cfg3,P19,multi,4,0.11291196197271347
AR-diff-cfg3,P20,multi,4,0.11884623765945435
AR-diff-cfg3,P21,multi,4,0.3358064591884613
AR-diff-cfg3,P22,multi,4,0.19953934848308563
AR-diff-cfg3,P23,rare,4,0.2527945935726166
AR-diff-cfg3,P24,rare,4,0.1416262686252594
AR-diff-cfg3,P25,rare,4,0.24727600812911987
