variant,n,flow_residual,flow_global,dynamic_degree,vqa_yes,clip_t,warp_error,subject_consistency,sharpness,colorfulness,div_videomae,div_videomae_sem,div_dinov2,recall,recall_lo,recall_hi,precision,precision_lo,precision_hi,recall_dinov2,precision_dinov2,iqa_musiq,iqa_clipiqa,iqa_maniqa,iqa_topiq_nr
AR-diff,240,3.4435,4.825,0.5708,0.6717,0.2543,0.0233,0.9225,633.8792,76.6684,0.1552,0.0112,0.3027,0.6083,0.4896,0.727,0.6208,0.5031,0.7386,0.6458,0.7667,65.8194,0.5124,0.3882,0.5475
AR-diff-cfg3,120,2.667,3.6957,0.4917,0.6751,0.2508,0.0188,0.9307,503.7517,62.6216,0.1798,0.0142,0.3495,0.875,0.7735,0.9765,0.7833,0.6758,0.8908,0.8583,0.925,67.5699,0.5146,0.405,0.571
AR-diff-cfg7.5,120,3.8233,4.6899,0.6167,0.6689,0.2527,0.0294,0.8999,615.4059,89.1901,0.1499,0.0119,0.275,0.675,0.5288,0.8212,0.7,0.5538,0.8462,0.6833,0.9333,62.1777,0.4713,0.3501,0.5073
AR-diff-rcm,240,3.0162,4.0994,0.425,0.6659,0.2599,0.018,0.9552,916.7576,86.7422,0.1185,0.0095,0.268,0.3917,0.2873,0.496,0.75,0.6149,0.8851,0.5083,0.7917,67.5193,0.5534,0.4302,0.5895
S-bi-causvid,240,3.151,3.3591,0.4667,0.6728,0.2437,0.0157,0.9664,497.858,76.9151,0.1437,0.0121,0.2321,0.3292,0.147,0.5113,0.4042,0.2614,0.5469,0.2458,0.6792,73.0483,0.5558,0.477,0.6486
S-bi-fastwan,122,2.9474,2.6993,0.582,0.6725,0.2471,0.0173,0.9638,516.3358,65.5619,0.1538,0.0149,0.285,0.5167,0.3607,0.6726,0.4836,0.3358,0.6315,0.6167,0.6721,73.9466,0.541,0.4821,0.657
S-bi-rcm,240,3.0737,3.5325,0.55,0.6815,0.2494,0.0207,0.9338,547.5951,60.3246,0.1986,0.0129,0.3106,0.6875,0.5698,0.8052,0.4125,0.3057,0.5193,0.5583,0.6958,69.0958,0.5171,0.4336,0.6122
S-causvid,240,2.5631,2.5462,0.3458,0.6776,0.252,0.0177,0.9636,967.258,79.8206,0.0749,0.0057,0.12,0.0333,-0.0089,0.0756,0.5583,0.4137,0.703,0.0292,0.7667,73.7681,0.6344,0.5293,0.6846
S-causvid-ode,240,1.964,3.2022,0.2542,0.6609,0.2149,0.0184,0.7752,495.0807,37.8261,0.0938,0.0045,0.2693,0.0125,-0.012,0.037,0.2625,0.0865,0.4385,0.0,0.4708,41.7494,0.3967,0.4034,0.4784
S-cf,240,2.5014,3.0873,0.5208,0.6791,0.2548,0.0188,0.9518,628.5919,70.2477,0.1335,0.0107,0.257,0.3375,0.2202,0.4548,0.6042,0.4858,0.7225,0.3292,0.7625,71.556,0.6068,0.4601,0.627
