variant,pid,seed,prompt,subset,n_frames,flow_total,flow_global,flow_residual,residual_frac,flow_total_p95,residual_autocorr,zoom_abs,dynamic_degree_score,dynamic_degree,subject_consistency,background_consistency,temporal_flicker,warp_error,sharpness,colorfulness,clip_t,vqascore,vqa_yes,vqa_min_q,iqa_musiq,iqa_clipiqa,iqa_maniqa,iqa_topiq_nr
T-nocfg,P23,2.0,"an astronaut riding a horse on the moon, with the Earth visible in the sky",rare,81.0,1.7145933398045599,0.6914010518696159,1.365449608117342,0.7963688998722488,6.92232942581176,0.8006108568840274,0.0016012274232707568,14.331774961948394,1.0,0.882790744304657,0.9496162533760071,0.9752708077430725,0.012220715603325516,514.924476845004,9.578219413757324,0.22724950313568115,0.5321266651153564,0.6231182813644409,0.5385373830795288,42.318180084228516,0.3809824287891388,0.2726079821586609,0.3052142262458801
T-nocfg,P07,1.0,A tranquil tableau of a picturesque barn was painted a warm shade of red and nestled in a picturesque meadow,general,81.0,3.7222071945667268,2.4043172910809516,2.526430669426918,0.6787451258408183,4.444299840927124,-0.07272032768244661,0.0035220066314650468,8.394071924686433,0.0,0.9508916735649109,0.9615597128868103,0.9773544073104858,0.008333347720326855,245.04221469882435,15.637292861938477,0.1527230143547058,0.6292492151260376,0.6601449251174927,0.611135721206665,62.352935791015625,0.528253436088562,0.38919854164123535,0.5296604633331299
T-nocfg,P21,3.0,three children chasing each other around a fountain in a city square,multi,81.0,1.415424071997404,0.9648744279518724,0.8831307742744684,0.6239332563384804,2.185130000114441,-0.4845269478888322,0.005717693544283975,3.6954026937484743,0.0,0.9382869601249695,0.966693103313446,0.9842612147331238,0.007056542014470324,122.62598966589555,13.844366073608398,0.20866933465003967,0.6573714017868042,0.6521461804707845,0.588476300239563,54.046104431152344,0.3068799376487732,0.3934134840965271,0.41679295897483826
T-nocfg,P24,2.0,a panda playing a violin on a stage under spotlights,rare,81.0,1.553266464918852,0.810696173645556,1.053459857776761,0.678221801183351,3.622343504428863,0.632312463421884,0.0011752211508792242,11.973321330547332,1.0,0.8295511603355408,0.9167160391807556,0.9744343161582947,0.015226533031091094,272.8183858656574,13.297896385192871,0.18952301144599915,0.6657387614250183,0.7007335225741068,0.6785585284233093,32.53654861450195,0.2500044107437134,0.15037956833839417,0.25705260038375854
T-nocfg,P05,3.0,A person is playing guitar,general,81.0,1.697138425707817,1.0520999442785979,1.1128520466387273,0.6557222286993869,2.6073701858520506,-0.5337536617244345,0.0066159041060018355,4.2147516250610355,0.0,0.8994232416152954,0.9678005576133728,0.9855536222457886,0.005845604825299233,112.75414220546625,21.44748878479004,0.1564028561115265,0.5523284673690796,0.6799630522727966,0.6799630522727966,59.915496826171875,0.48141399025917053,0.3474327027797699,0.4629341661930084
T-nocfg,P29,3.0,a full glass of water tipping over on a table and spilling across the surface,physics,81.0,1.2948854669928551,0.758890263736248,0.8857437662780285,0.6840319895650866,1.9662245690822602,-0.3054220532277856,0.004635740112280473,3.1965240716934202,0.0,0.9549106955528259,0.9727886319160461,0.9874030351638794,0.005614574230276048,110.9044948262996,29.037059783935547,0.2852023243904114,0.6066633462905884,0.6569663484891256,0.48691701889038086,50.64276123046875,0.3454888164997101,0.3086835443973541,0.4170686602592468
T-nocfg,P24,0.0,a panda playing a violin on a stage under spotlights,rare,81.0,0.7055469315499068,0.6000342275947332,0.21831917213276028,0.30943209152802614,1.2564365088939666,-0.11639145701958002,0.0005885859753334444,1.7271562069654465,0.0,0.9009165167808533,0.950197696685791,0.9869924783706665,0.006608320097438991,141.2779261405502,6.190654277801514,0.15151581168174744,0.5896270275115967,0.6862425406773885,0.6803312301635742,21.36178207397461,0.28770267963409424,0.3030778765678406,0.24764807522296906
T-nocfg,P08,2.0,"In a still frame, a stop sign",general,81.0,1.4652609582990408,1.041709690913558,0.7793062657117844,0.5318545679138816,2.6715393543243406,0.6719472019562687,0.0021189959232742694,7.5462726354599,0.0,0.900442898273468,0.9406701326370239,0.971144437789917,0.01351092669647187,709.5332728199245,13.852683067321777,0.23305131494998932,0.6468110084533691,0.6780648231506348,0.6780648231506348,59.350128173828125,0.41098690032958984,0.4116801917552948,0.5123279094696045
T-nocfg,P25,0.0,a giraffe wearing sunglasses roller-skating down a boardwalk,rare,81.0,1.0320745865814387,0.7910858974792063,0.4951990365982056,0.4798088851597214,2.4138733029365538,-0.17516375621644764,0.0014172885184052576,3.836795225739479,0.0,0.8025757074356079,0.9784051179885864,0.9860076904296875,0.007178561785258353,150.2591748503191,5.015436172485352,0.14053179323673248,0.4819934368133545,0.5448695719242096,0.4820486009120941,21.605220794677734,0.4545484781265259,0.48214489221572876,0.4582487642765045
T-nocfg,P23,3.0,"an astronaut riding a horse on the moon, with the Earth visible in the sky",rare,81.0,1.4035598777234555,0.834932305663824,0.963661129027605,0.6865830647763865,2.145705509185791,-0.4508103076773095,0.004988037035946036,3.400611734390259,0.0,0.9272031784057617,0.9540665745735168,0.985546350479126,0.006558403332019225,142.2458974219573,21.3472957611084,0.26775407791137695,0.6226084232330322,0.7054768006006876,0.6742980480194092,63.850975036621094,0.5906938314437866,0.3378751277923584,0.5080809593200684
T-nocfg,P06,1.0,A person is reading book,general,81.0,1.7551959954202174,0.9447460712864995,1.431024146080017,0.8153068571869398,2.6525364398956293,-0.23928497218136657,0.0029101253735461796,6.331704878807068,0.0,0.9173728823661804,0.9364126324653625,0.9849286079406738,0.009168745338683948,134.22040098395158,17.13502311706543,0.23114623129367828,0.6743943095207214,0.7389368414878845,0.7389368414878845,32.16264724731445,0.2937970757484436,0.2750166654586792,0.34451979398727417
T-nocfg,P28,3.0,"two cats sitting side by side on a windowsill, one black and one white, watching birds outside",count,81.0,0.4049865584820509,0.2852357079507783,0.2661945401225239,0.6572906612742814,0.6793172538280486,-0.3455904966632189,0.0014343656985033703,1.5454857170581817,0.0,0.9830116629600525,0.988947868347168,0.9914501309394836,0.005167507272562944,83.78559598293008,28.170438766479492,0.20667409896850586,0.717613160610199,0.6744375427563986,0.6277188658714294,52.95558166503906,0.32465797662734985,0.2528149485588074,0.31151083111763
T-nocfg,P11,2.0,A person is sweeping floor,general,81.0,1.325720060430467,0.4857764820335433,1.0605647963471712,0.799990909100291,4.427023243904112,0.6930911718058199,0.001192281130624906,16.753495198488235,1.0,0.9223691821098328,0.9333677291870117,0.98106449842453,0.010454324533930049,322.11183879045376,17.908405303955078,0.17066949605941772,0.696318507194519,0.7181296944618225,0.6786503791809082,53.722049713134766,0.5031845569610596,0.36447227001190186,0.4975244104862213
T-nocfg,P19,2.0,two dogs playing tug-of-war with a rope toy in a backyard,multi,81.0,1.2545048458501697,0.6576997592346743,0.7935607701539993,0.632568411521597,2.950913035869598,0.7463449769881849,0.0008890029706435598,11.321068584918976,1.0,0.8721155524253845,0.9537264108657837,0.971191942691803,0.014896021154709161,634.2548097522669,13.010614395141602,0.2130013257265091,0.720749020576477,0.6911702454090118,0.6749172210693359,45.98448944091797,0.36553964018821716,0.24716618657112122,0.40173643827438354
