variant,pid,subset,n,pair_dist
S-bi-causvid,P00,general,4,0.08997327089309692
S-bi-causvid,P01,general,4,0.21496711671352386
S-bi-causvid,P02,general,4,0.1659722477197647
S-bi-causvid,P03,general,4,0.1478228121995926
S-bi-causvid,P04,general,4,0.11080030351877213
S-bi-causvid,P05,general,4,0.057092439383268356
S-bi-causvid,P06,general,4,0.22200296819210052
S-bi-causvid,P07,general,4,0.1352364867925644
S-bi-causvid,P08,general,4,0.16877524554729462
S-bi-causvid,P09,general,4,0.11866173148155212
S-bi-causvid,P10,general,4,0.13555823266506195
S-bi-causvid,P11,general,4,0.11984319239854813
S-bi-causvid,P12,general,4,0.07163932174444199
S-bi-causvid,P13,general,4,0.07760325819253922
S-bi-causvid,P14,general,4,0.11010828614234924
S-bi-causvid,P15,fast,4,0.16964459419250488
S-bi-causvid,P16,fast,4,0.038665711879730225
S-bi-causvid,P17,fast,4,0.0318613164126873
S-bi-causvid,P18,fast,4,0.293971985578537
S-bi-causvid,P19,multi,4,0.08048190921545029
S-bi-causvid,P20,multi,4,0.11197371035814285
S-bi-causvid,P21,multi,4,0.13546618819236755
S-bi-causvid,P22,multi,4,0.13475318253040314
S-bi-causvid,P23,rare,4,0.3035547137260437
S-bi-causvid,P24,rare,4,0.1030176654458046
S-bi-causvid,P25,rare,4,0.12465929985046387
S-bi-causvid,P26,count,4,0.0861240103840828
S-bi-causvid,P27,count,4,0.1899884194135666
S-bi-causvid,P28,count,4,0.08394604921340942
S-bi-causvid,P29,physics,4,0.12371482700109482
S-bi-fastwan,P00,general,4,0.17822273075580597
S-bi-fastwan,P01,general,4,0.19148720800876617
S-bi-fastwan,P02,general,4,0.18073414266109467
S-bi-fastwan,P03,general,4,0.16162051260471344
S-bi-fastwan,P04,general,4,0.10321260243654251
S-bi-fastwan,P05,general,4,0.06737091392278671
S-bi-fastwan,P06,general,4,0.12984523177146912
S-bi-fastwan,P07,general,4,0.1961074322462082
S-bi-fastwan,P08,general,4,0.2772321403026581
S-bi-fastwan,P09,general,4,0.16231565177440643
S-bi-fastwan,P10,general,4,0.1867690533399582
S-bi-fastwan,P11,general,4,0.07668688148260117
S-bi-fastwan,P12,general,4,0.264182984828949
S-bi-fastwan,P13,general,4,0.09711539000272751
S-bi-fastwan,P14,general,4,0.0932052955031395
S-bi-fastwan,P15,fast,4,0.1587267965078354
S-bi-fastwan,P16,fast,4,0.06352146714925766
S-bi-fastwan,P17,fast,4,0.19376032054424286
S-bi-fastwan,P18,fast,4,0.22548992931842804
S-bi-fastwan,P19,multi,4,0.07808169722557068
S-bi-fastwan,P20,multi,4,0.09541963785886765
S-bi-fastwan,P21,multi,4,0.14745965600013733
S-bi-fastwan,P22,multi,4,0.1054786667227745
S-bi-fastwan,P23,rare,4,0.4550257921218872
S-bi-fastwan,P24,rare,4,0.0691150426864624
S-bi-fastwan,P25,rare,4,0.10407572984695435
S-bi-fastwan,P26,count,4,0.07910271733999252
S-bi-fastwan,P27,count,4,0.22013650834560394
S-bi-fastwan,P28,count,4,0.11615166068077087
S-bi-fastwan,P29,physics,4,0.15269820392131805
S-causvid,P00,general,4,0.09991633892059326
S-causvid,P01,general,4,0.08387856930494308
S-causvid,P02,general,4,0.03127799555659294
S-causvid,P03,general,4,0.06793207675218582
S-causvid,P04,general,4,0.10051660984754562
S-causvid,P05,general,4,0.017705360427498817
S-causvid,P06,general,4,0.08837950974702835
S-causvid,P07,general,4,0.06632078438997269
S-causvid,P08,general,4,0.14216230809688568
S-causvid,P09,general,4,0.05269769951701164
S-causvid,P10,general,4,0.06129612401127815
S-causvid,P11,general,4,0.10762029141187668
S-causvid,P12,general,4,0.05785273388028145
S-causvid,P13,general,4,0.08407218009233475
S-causvid,P14,general,4,0.032440703362226486
S-causvid,P15,fast,4,0.09254997968673706
S-causvid,P16,fast,4,0.059762705117464066
S-causvid,P17,fast,4,0.09013281017541885
S-causvid,P18,fast,4,0.07375440746545792
S-causvid,P19,multi,4,0.09182623028755188
S-causvid,P20,multi,4,0.06519327312707901
S-causvid,P21,multi,4,0.15987201035022736
S-causvid,P22,multi,4,0.09206639975309372
S-causvid,P23,rare,4,0.09171455353498459
S-causvid,P24,rare,4,0.03771861270070076
S-causvid,P25,rare,4,0.11803086847066879
S-causvid,P26,count,4,0.06133701279759407
S-causvid,P27,count,4,0.051911067217588425
S-causvid,P28,count,4,0.09913357347249985
S-causvid,P29,physics,4,0.06465461850166321
S-cf,P00,general,4,0.10224196314811707
S-cf,P01,general,4,0.23688995838165283
S-cf,P02,general,4,0.27142608165740967
S-cf,P03,general,4,0.092896968126297
S-cf,P04,general,4,0.08629670739173889
S-cf,P05,general,4,0.0296942088752985
S-cf,P06,general,4,0.20184063911437988
S-cf,P07,general,4,0.19013150036334991
S-cf,P08,general,4,0.2417422980070114
S-cf,P09,general,4,0.16179531812667847
S-cf,P10,general,4,0.1871044635772705
S-cf,P11,general,4,0.07314639538526535
S-cf,P12,general,4,0.0905505046248436
S-cf,P13,general,4,0.15602482855319977
S-cf,P14,general,4,0.06805258244276047
S-cf,P15,fast,4,0.14014823734760284
S-cf,P16,fast,4,0.0637216791510582
S-cf,P17,fast,4,0.1168988049030304
S-cf,P18,fast,4,0.15585868060588837
S-cf,P19,multi,4,0.06433838605880737
S-cf,P20,multi,4,0.07590118795633316
S-cf,P21,multi,4,0.19224543869495392
S-cf,P22,multi,4,0.09142574667930603
S-cf,P23,rare,4,0.23430900275707245
S-cf,P24,rare,4,0.07603848725557327
S-cf,P25,rare,4,0.2321311980485916
S-cf,P26,count,4,0.14300154149532318
S-cf,P27,count,4,0.15926045179367065
S-cf,P28,count,4,0.06446745991706848
S-cf,P29,physics,4,0.22064025700092316
S-sf,P00,general,4,0.0897333025932312
S-sf,P01,general,4,0.16081105172634125
S-sf,P02,general,4,0.1834917515516281
S-sf,P03,general,4,0.07073419541120529
S-sf,P04,general,4,0.08888087421655655
S-sf,P05,general,4,0.041702430695295334
S-sf,P06,general,4,0.16483967006206512
S-sf,P07,general,4,0.11464639753103256
S-sf,P08,general,4,0.2586447298526764
S-sf,P09,general,4,0.06633240729570389
S-sf,P10,general,4,0.1706497222185135
S-sf,P11,general,4,0.08241241425275803
S-sf,P12,general,4,0.06958109885454178
S-sf,P13,general,4,0.08735793828964233
S-sf,P14,general,4,0.047953683882951736
S-sf,P15,fast,4,0.10946383327245712
S-sf,P16,fast,4,0.06718312948942184
S-sf,P17,fast,4,0.09112879633903503
S-sf,P18,fast,4,0.08044755458831787
S-sf,P19,multi,4,0.06917012482881546
S-sf,P20,multi,4,0.089835025370121
S-sf,P21,multi,4,0.2214936763048172
S-sf,P22,multi,4,0.09411566704511642
S-sf,P23,rare,4,0.2659043073654175
S-sf,P24,rare,4,0.09581733494997025
S-sf,P25,rare,4,0.17143787443637848
S-sf,P26,count,4,0.13272976875305176
S-sf,P27,count,4,0.16368819773197174
S-sf,P28,count,4,0.08232322335243225
S-sf,P29,physics,4,0.21752355992794037
T-few,P00,general,4,0.21554814279079437
T-few,P01,general,4,0.20752592384815216
T-few,P02,general,4,0.05439327284693718
T-few,P03,general,4,0.1200355812907219
T-few,P04,general,4,0.16154134273529053
T-few,P05,general,4,0.2209455519914627
T-few,P06,general,4,0.17409010231494904
T-few,P07,general,4,0.13473379611968994
T-few,P08,general,4,0.16404412686824799
T-few,P09,general,4,0.23475535213947296
T-few,P10,general,4,0.14453811943531036
T-few,P11,general,4,0.2257070690393448
T-few,P12,general,4,0.19781410694122314
T-few,P13,general,4,0.11182530969381332
T-few,P14,general,4,0.2451726198196411
T-few,P15,fast,4,0.16709697246551514
T-few,P16,fast,4,0.08077532798051834
T-few,P17,fast,4,0.1503422111272812
T-few,P18,fast,4,0.19215430319309235
T-few,P19,multi,4,0.14753057062625885
T-few,P20,multi,4,0.1703186184167862
T-few,P21,multi,4,0.1893167942762375
T-few,P22,multi,4,0.24221171438694
T-few,P23,rare,4,0.1392117440700531
T-few,P24,rare,4,0.16573064029216766
T-few,P25,rare,4,0.20551304519176483
T-few,P26,count,4,0.12021267414093018
T-few,P27,count,4,0.17571114003658295
T-few,P28,count,4,0.12157877534627914
T-few,P29,physics,4,0.1777833253145218
T-full,P00,general,4,0.06797205656766891
T-full,P01,general,4,0.2982883155345917
T-full,P02,general,4,0.1317693144083023
T-full,P03,general,4,0.10334751009941101
T-full,P04,general,4,0.09129083901643753
T-full,P05,general,4,0.12140002846717834
T-full,P06,general,4,0.22969792783260345
T-full,P07,general,4,0.23831093311309814
T-full,P08,general,4,0.23395442962646484
