variant,pid,subset,n,pair_dist
S-cf,P00,general,4,0.10224196314811707
S-cf,P01,general,4,0.23688995838165283
S-cf,P02,general,4,0.27142608165740967
S-cf,P03,general,4,0.092896968126297
S-cf,P04,general,4,0.08629670739173889
S-cf,P05,general,4,0.0296942088752985
S-cf,P06,general,4,0.20184063911437988
S-cf,P07,general,4,0.19013150036334991
S-cf,P08,general,4,0.2417422980070114
S-cf,P09,general,4,0.16179531812667847
S-cf,P10,general,4,0.1871044635772705
S-cf,P11,general,4,0.07314639538526535
S-cf,P12,general,4,0.0905505046248436
S-cf,P13,general,4,0.15602482855319977
S-cf,P14,general,4,0.06805258244276047
S-cf,P15,fast,4,0.14014823734760284
S-cf,P16,fast,4,0.0637216791510582
S-cf,P17,fast,4,0.1168988049030304
S-cf,P18,fast,4,0.15585868060588837
S-cf,P19,multi,4,0.06433838605880737
S-cf,P20,multi,4,0.07590118795633316
S-cf,P21,multi,4,0.19224543869495392
S-cf,P22,multi,4,0.09142574667930603
S-cf,P23,rare,4,0.23430900275707245
S-cf,P24,rare,4,0.07603848725557327
S-cf,P25,rare,4,0.2321311980485916
S-cf,P26,count,4,0.14300154149532318
S-cf,P27,count,4,0.15926045179367065
S-cf,P28,count,4,0.06446745991706848
S-cf,P29,physics,4,0.22064025700092316
S-sf,P00,general,4,0.0897333025932312
S-sf,P01,general,4,0.16081105172634125
S-sf,P02,general,4,0.1834917515516281
S-sf,P03,general,4,0.07073419541120529
S-sf,P04,general,4,0.08888087421655655
S-sf,P05,general,4,0.041702430695295334
S-sf,P06,general,4,0.16483967006206512
S-sf,P07,general,4,0.11464639753103256
S-sf,P08,general,4,0.2586447298526764
S-sf,P09,general,4,0.06633240729570389
S-sf,P10,general,4,0.1706497222185135
S-sf,P11,general,4,0.08241241425275803
S-sf,P12,general,4,0.06958109885454178
S-sf,P13,general,4,0.08735793828964233
S-sf,P14,general,4,0.047953683882951736
S-sf,P15,fast,4,0.10946383327245712
S-sf,P16,fast,4,0.06718312948942184
S-sf,P17,fast,4,0.09112879633903503
S-sf,P18,fast,4,0.08044755458831787
S-sf,P19,multi,4,0.06917012482881546
S-sf,P20,multi,4,0.089835025370121
S-sf,P21,multi,4,0.2214936763048172
S-sf,P22,multi,4,0.09411566704511642
S-sf,P23,rare,4,0.2659043073654175
S-sf,P24,rare,4,0.09581733494997025
S-sf,P25,rare,4,0.17143787443637848
S-sf,P26,count,4,0.13272976875305176
S-sf,P27,count,4,0.16368819773197174
S-sf,P28,count,4,0.08232322335243225
S-sf,P29,physics,4,0.21752355992794037
